Username,Trajectory,X,Y,Z
RAJ,spiral,-6.245914,1.192952,4.892432
RAJ,spiral,-6.257101,1.181406,4.878822
RAJ,spiral,-6.207216,1.227233,4.933801
RAJ,spiral,-6.19556,1.240146,4.946713
RAJ,spiral,-6.19611,1.238987,4.947642
RAJ,spiral,-6.203747,1.232819,4.939601
RAJ,spiral,-6.204406,1.229511,4.940723
RAJ,spiral,-6.209115,1.223589,4.934682
RAJ,spiral,-6.202131,1.232891,4.943176
RAJ,spiral,-6.204443,1.228097,4.938172
RAJ,spiral,-6.199876,1.230886,4.940341
RAJ,spiral,-6.198893,1.242081,4.946477
RAJ,spiral,-6.204944,1.23308,4.940477
RAJ,spiral,-6.188306,1.25245,4.954009
RAJ,spiral,-6.191642,1.251202,4.952075
RAJ,spiral,-6.148592,1.297577,4.970142
RAJ,spiral,-6.174948,1.270684,4.959279
RAJ,spiral,-6.195656,1.247007,4.950119
RAJ,spiral,-6.211493,1.22091,4.931684
RAJ,spiral,-6.212242,1.218019,4.927535
RAJ,spiral,-6.210468,1.219597,4.928596
RAJ,spiral,-6.202018,1.236489,4.941051
RAJ,spiral,-6.420051,1.539855,4.555689
RAJ,spiral,-6.420051,1.536258,4.555689
RAJ,spiral,-6.420051,1.530386,4.555689
RAJ,spiral,-6.420051,1.52226,4.555689
RAJ,spiral,-6.420051,1.511499,4.555689
RAJ,spiral,-6.42005,1.498508,4.555689
RAJ,spiral,-6.420051,1.482341,4.555689
RAJ,spiral,-6.420051,1.464045,4.555689
RAJ,spiral,-6.420051,1.444323,4.555689
RAJ,spiral,-6.420051,1.420638,4.555689
RAJ,spiral,-6.420051,1.397215,4.555689
RAJ,spiral,-6.420051,1.368377,4.555689
RAJ,spiral,-6.420051,1.338368,4.555689
RAJ,spiral,-6.420051,1.305494,4.555689
RAJ,spiral,-6.420051,1.271385,4.555689
RAJ,spiral,-6.418762,1.246042,4.558365
RAJ,spiral,-6.418504,1.243135,4.563744
RAJ,spiral,-6.421077,1.242391,4.5682
RAJ,spiral,-6.424058,1.240438,4.572138
RAJ,spiral,-6.427868,1.237126,4.576137
RAJ,spiral,-6.431791,1.232735,4.58018
RAJ,spiral,-6.434837,1.228546,4.584988
RAJ,spiral,-6.434413,1.23197,4.586871
RAJ,spiral,-6.43423,1.232828,4.588439
RAJ,spiral,-6.434082,1.231853,4.589628
RAJ,spiral,-6.433529,1.230556,4.589335
RAJ,spiral,-6.433122,1.230019,4.588233
RAJ,spiral,-6.43327,1.230105,4.58756
RAJ,spiral,-6.433252,1.230016,4.587783
RAJ,spiral,-6.433241,1.229954,4.587862
RAJ,spiral,-6.433252,1.229949,4.587847
RAJ,spiral,-6.43325,1.229949,4.587847
